id,Data,Hora,Vazao,Nivel,Chuva
381,2023-02-03,01:00:00,80.38,779.00,0.00
382,2023-02-03,00:30:00,80.38,779.00,0.00
383,2023-02-03,00:00:00,80.38,779.00,0.00
384,2023-02-02,23:30:00,80.38,779.00,0.00
385,2023-02-02,23:00:00,80.38,779.00,0.00
386,2023-02-02,22:30:00,81.93,780.00,0.00
387,2023-02-02,22:00:00,81.93,780.00,0.00
388,2023-02-02,21:30:00,83.49,781.00,0.00
389,2023-02-02,21:00:00,85.06,782.00,0.00
390,2023-02-02,20:30:00,85.06,782.00,0.00
391,2023-02-02,20:00:00,86.63,783.00,0.00
392,2023-02-02,19:30:00,86.63,783.00,0.00
393,2023-02-02,19:00:00,86.63,783.00,0.00
394,2023-02-02,18:30:00,86.63,783.00,0.00
395,2023-02-02,18:00:00,86.63,783.00,0.00
396,2023-02-02,17:30:00,86.63,783.00,0.00
397,2023-02-02,17:00:00,86.63,783.00,0.00
398,2023-02-02,16:30:00,88.21,784.00,0.00
399,2023-02-02,16:00:00,86.63,783.00,0.00
400,2023-02-02,15:30:00,86.63,783.00,0.00
401,2023-02-02,15:00:00,86.63,783.00,0.00
402,2023-02-02,14:30:00,86.63,783.00,0.00
403,2023-02-02,14:00:00,88.21,784.00,0.00
404,2023-02-02,13:30:00,86.63,783.00,0.00
405,2023-02-02,13:00:00,86.63,783.00,0.00
406,2023-02-02,12:30:00,86.63,783.00,0.00
407,2023-02-02,12:00:00,86.63,783.00,0.00
408,2023-02-02,11:30:00,86.63,783.00,0.00
409,2023-02-02,11:00:00,86.63,783.00,0.00
410,2023-02-02,10:30:00,86.63,783.00,0.00
411,2023-02-02,10:00:00,86.63,783.00,0.00
412,2023-02-02,09:30:00,86.63,783.00,0.00
413,2023-02-02,09:00:00,86.63,783.00,0.00
414,2023-02-02,08:30:00,86.63,783.00,0.00
415,2023-02-02,08:00:00,85.06,782.00,0.00
416,2023-02-02,07:30:00,86.63,783.00,0.00
417,2023-02-02,07:00:00,86.63,783.00,0.00
418,2023-02-02,06:30:00,86.63,783.00,0.00
419,2023-02-02,06:00:00,86.63,783.00,0.00
420,2023-02-02,05:30:00,85.06,782.00,0.00
421,2023-02-02,05:00:00,86.63,783.00,0.00
422,2023-02-02,04:30:00,86.63,783.00,0.00
423,2023-02-02,04:00:00,86.63,783.00,0.00
424,2023-02-02,03:30:00,85.06,782.00,0.00
425,2023-02-02,03:00:00,86.63,783.00,0.00
426,2023-02-02,02:30:00,86.63,783.00,0.00
427,2023-02-02,02:00:00,86.63,783.00,0.00
428,2023-02-02,01:30:00,86.63,783.00,0.00
429,2023-02-02,01:00:00,86.63,783.00,0.00
430,2023-02-02,00:30:00,86.63,783.00,0.00
431,2023-02-02,00:00:00,86.63,783.00,0.00
432,2023-02-01,23:30:00,86.63,783.00,0.00
433,2023-02-01,23:00:00,86.63,783.00,0.00
434,2023-02-01,22:30:00,86.63,783.00,0.00
435,2023-02-01,22:00:00,86.63,783.00,0.00
436,2023-02-01,21:30:00,86.63,783.00,0.00
437,2023-02-01,21:00:00,86.63,783.00,0.00
438,2023-02-01,20:30:00,86.63,783.00,0.00
439,2023-02-01,20:00:00,86.63,783.00,0.00
440,2023-02-01,19:30:00,88.21,784.00,0.00
441,2023-02-01,19:00:00,89.80,785.00,0.00
442,2023-02-01,18:30:00,91.39,786.00,0.00
443,2023-02-01,18:00:00,92.99,787.00,0.00
444,2023-02-01,17:30:00,92.99,787.00,0.00
445,2023-02-01,17:00:00,92.99,787.00,0.00
446,2023-02-01,16:30:00,94.60,788.00,0.00
447,2023-02-01,16:00:00,92.99,787.00,0.00
448,2023-02-01,15:30:00,92.99,787.00,0.00
449,2023-02-01,15:00:00,92.99,787.00,0.00
450,2023-02-01,14:30:00,94.60,788.00,0.00
451,2023-02-01,14:00:00,92.99,787.00,0.00
452,2023-02-01,13:30:00,92.99,787.00,0.00
453,2023-02-01,13:00:00,92.99,787.00,0.00
454,2023-02-01,12:30:00,92.99,787.00,0.00
455,2023-02-01,12:00:00,91.39,786.00,0.00
456,2023-02-01,11:30:00,91.39,786.00,0.00
457,2023-02-01,11:00:00,92.99,787.00,0.00
458,2023-02-01,10:30:00,91.39,786.00,0.00
459,2023-02-01,10:00:00,91.39,786.00,0.00
460,2023-02-01,09:30:00,91.39,786.00,0.00
461,2023-02-01,09:00:00,91.39,786.00,0.00
462,2023-02-01,08:30:00,91.39,786.00,0.00
463,2023-02-01,08:00:00,92.99,787.00,0.00
464,2023-02-01,07:30:00,91.39,786.00,0.00
465,2023-02-01,07:00:00,91.39,786.00,0.00
466,2023-02-01,06:30:00,91.39,786.00,0.00
467,2023-02-01,06:00:00,91.39,786.00,0.00
468,2023-02-01,05:30:00,91.39,786.00,0.00
469,2023-02-01,05:00:00,91.39,786.00,0.00
470,2023-02-01,04:30:00,91.39,786.00,0.00
471,2023-02-01,04:00:00,91.39,786.00,0.00
472,2023-02-01,03:30:00,91.39,786.00,0.00
473,2023-02-01,03:00:00,92.99,787.00,0.00
474,2023-02-01,02:30:00,91.39,786.00,0.00
475,2023-02-01,02:00:00,91.39,786.00,0.00
476,2023-02-01,01:30:00,92.99,787.00,0.00
477,2023-02-01,01:00:00,92.99,787.00,0.00
478,2023-02-01,00:30:00,91.39,786.00,0.00
479,2023-02-01,00:00:00,91.39,786.00,0.00
480,2023-01-31,23:30:00,92.99,787.00,0.00
481,2023-01-31,23:00:00,94.60,788.00,0.00
482,2023-01-31,22:30:00,92.99,787.00,0.00
483,2023-01-31,22:00:00,94.60,788.00,0.00
484,2023-01-31,21:30:00,94.60,788.00,0.00
485,2023-01-31,21:00:00,94.60,788.00,0.00
486,2023-01-31,20:30:00,94.60,788.00,0.00
487,2023-01-31,20:00:00,92.99,787.00,0.00
488,2023-01-31,19:30:00,92.99,787.00,0.00
489,2023-01-31,19:00:00,92.99,787.00,0.00
490,2023-01-31,18:30:00,94.60,788.00,0.00
491,2023-01-31,18:00:00,94.60,788.00,0.00
492,2023-01-31,17:30:00,96.21,789.00,0.00
493,2023-01-31,17:00:00,96.21,789.00,0.00
494,2023-01-31,16:30:00,97.83,790.00,0.00
495,2023-01-31,16:00:00,102.72,793.00,0.00
496,2023-01-31,15:30:00,107.67,796.00,0.00
497,2023-01-31,15:00:00,111.00,798.00,0.00
498,2023-01-31,14:30:00,109.34,797.00,0.00
499,2023-01-31,14:00:00,109.34,797.00,0.00
500,2023-01-31,13:30:00,111.00,798.00,0.00
501,2023-01-31,13:00:00,109.34,797.00,0.00
502,2023-01-31,12:30:00,109.34,797.00,0.00
503,2023-01-31,12:00:00,111.00,798.00,0.00
504,2023-01-31,11:30:00,111.00,798.00,0.00
505,2023-01-31,11:00:00,107.67,796.00,0.00
506,2023-01-31,10:30:00,106.02,795.00,0.00
507,2023-01-31,10:00:00,101.08,792.00,0.00
508,2023-01-31,09:30:00,101.08,792.00,0.00
509,2023-01-31,09:00:00,101.08,792.00,0.00
